well_id,date,value,aquifer_id
706,1976-04-26 00:00:00,490,1
706,1980-06-02 00:00:00,0,1
706,1988-08-05 00:00:00,458,1
706,1989-01-25 00:00:00,483,1
706,1990-02-21 00:00:00,431,1
706,2004-12-07 00:00:00,0,1
2288,1980-03-24 00:00:00,307.8,1
2288,1985-09-17 00:00:00,478.4,1
2288,1990-09-24 00:00:00,468,1
2288,1991-09-26 00:00:00,410,1
2288,1992-06-02 00:00:00,436,1
2288,1993-01-05 00:00:00,489,1
2288,1993-02-02 00:00:00,0,1
2288,1993-11-30 00:00:00,456.9,1
2288,1980-06-02 00:00:00,0,1
2288,1988-08-05 00:00:00,443,1
2288,1989-01-25 00:00:00,540,1
2288,1989-03-02 00:00:00,482,1
2288,1989-04-27 00:00:00,490,1
2288,1990-02-21 00:00:00,469,1
2133,1988-08-05 00:00:00,794,1
2133,1989-01-25 00:00:00,901,1
2133,1989-03-02 00:00:00,1038,1
2133,1989-04-27 00:00:00,900,1
2133,1990-02-21 00:00:00,868,1
2133,1990-05-18 00:00:00,1020,1
706,1991-12-31 00:00:00,420,1
2289,2022-06-28 00:00:00,480,1
2289,2022-10-04 00:00:00,504,1
2289,2022-12-02 00:00:00,576,1
2289,2023-10-09 00:00:00,588,1
2289,2024-05-09 00:00:00,586,1
376,1988-08-05 00:00:00,1058,1
376,1989-01-25 00:00:00,643,1
376,1989-03-02 00:00:00,707,1
376,1989-04-27 00:00:00,680,1
376,1990-02-21 00:00:00,878,1
2290,2017-03-11 00:00:00,418,1
2290,2023-03-07 00:00:00,440,1
2291,2017-04-26 00:00:00,390,1
2291,2017-01-11 00:00:00,0,1
2291,2018-04-27 00:00:00,441,1
2291,2019-07-05 00:00:00,0,1
2291,2021-07-01 00:00:00,492,1
2291,2022-03-24 00:00:00,0,1
2291,2022-06-22 00:00:00,0,1
2291,2023-10-23 00:00:00,383,1
2291,2023-01-06 00:00:00,0,1
2291,2023-10-29 00:00:00,0,1
2291,2023-10-23 00:00:00,0,1
2291,2024-04-24 00:00:00,0,1
2291,2025-06-12 00:00:00,427,1
541,1976-03-20 00:00:00,760,1
2292,1962-04-30 00:00:00,0,1
2292,1982-06-10 00:00:00,0,1
2292,2015-04-23 00:00:00,0,1
2292,2016-06-23 00:00:00,0,1
2292,2017-04-26 00:00:00,0,1
2292,2018-11-15 00:00:00,769,1
2292,2021-07-01 00:00:00,710,1
2292,2023-01-05 00:00:00,858,1
2292,2024-04-24 00:00:00,0,1
2292,2025-06-17 00:00:00,687,1
2293,1991-12-31 00:00:00,750,1
1508,2020-02-17 00:00:00,529,1
1508,1980-03-24 00:00:00,421.2,1
1508,1980-06-02 00:00:00,0,1
